,Address,Brand,Price,Self,Store,Si
2693,경기 화성시 송산면 송산포도로 42,현대오일뱅크,1568,N,사강주유소,화성시
2695,경기 화성시 봉담읍 삼천병마로 1136,S-OIL,1568,N,(주)앨림하이오일주유소,화성시
2696,경기 화성시 남양읍 남양로 361,현대오일뱅크,1569,N,연구단지주유소,화성시
2697,경기 화성시 향남읍 발안만세길 47,S-OIL,1569,N,소방주유소,화성시
2698,경기 화성시 우정읍 포승향남로 1129,현대오일뱅크,1569,N,(주)에스디에너텍 베스타주유소,화성시
2699,경기 화성시 정남면 가장로 300,GS칼텍스,1569,N,고지리주유소,화성시
2700,경기 화성시 경기동로 234,GS칼텍스,1569,N,동탄뉴타운주유소,화성시
2701,경기 화성시 효행로 1293,GS칼텍스,1569,Y,지에스칼텍스(주)동탄신도시주유소,화성시
2702,경기 화성시 우정읍 쌍봉로 418,현대오일뱅크,1569,N,사거리주유소,화성시
2703,경기 화성시 남양읍 현대기아로 611,현대오일뱅크,1570,N,대양주유소/충전소,화성시
2704,경기 화성시 봉담읍 효행로 188,SK에너지,1576,N,SK에너지(주)동화주유소,화성시
2706,경기 화성시 팔탄면 푸른들판로 586,GS칼텍스,1578,N,신성주유소,화성시
2707,경기 화성시 팔탄면 푸른들판로 639,SK에너지,1578,N,구장주유소,화성시
2708,경기 화성시 팔탄면 푸른들판로 918,SK에너지,1578,N,KH에너지(주)직영 화성주유소,화성시
2709,경기 화성시 팔탄면 푸른들판로 603,S-OIL,1578,N,팔탄주유소,화성시
2710,경기 화성시 동탄기흥로 161,GS칼텍스,1578,Y,동탄2산단주유소,화성시
2711,경기 화성시 동탄대로 750 (영천동),GS칼텍스,1578,Y,동탄2주유소,화성시
2712,경기 화성시 남양읍 현대기아로 240,현대오일뱅크,1578,N,연구소주유소,화성시
2713,경기 화성시 효행로 1144 (병점동),현대오일뱅크,1578,Y,(주)영광주유소,화성시
2714,경기 화성시 장안면 수정로 113,GS칼텍스,1578,N,승보스타주유소,화성시
2715,경기 화성시 양감면 서해로 135,현대오일뱅크,1579,N,영신주유소,화성시
2716,경기 화성시 남양읍 화성로 957,GS칼텍스,1579,N,남양신도시주유소,화성시
2718,경기 화성시 정남면 시청로 1601,SK에너지,1579,Y,삼우셀프주유소,화성시
2719,경기 화성시 떡전골로 148,현대오일뱅크,1579,N,(주)태화유업 병점주유소,화성시
2720,경기 화성시 향남읍 발안로 199,SK에너지,1579,N,향남신도시주유소,화성시
2721,경기 화성시 동탄원천로 447 (반월동),SK에너지,1579,Y,동탄반월주유소,화성시
2722,경기 화성시 양감면 정문회화로 239,SK에너지,1579,N,정문주유소,화성시
2723,경기 화성시 효행로 1315 (반월동),현대오일뱅크,1583,N,현대오일뱅크(주)직영 동탄현대주유소,화성시
2724,경기 화성시 효행로 1279 (반월동),현대오일뱅크,1583,N,현대오일뱅크㈜직영 동탄제일주유소,화성시
2725,경기 화성시 향남읍 발안로 690,SK에너지,1587,N,송곡주유소,화성시
2726,경기 화성시 마도면 화성로 706,SK에너지,1588,N,우정주유소,화성시
2727,경기 화성시 양감면 은행나무로 234,SK에너지,1588,N,(주)충만에너지,화성시
2728,경기 화성시 효행로 1260,SK에너지,1588,Y,SK에너지(주) 동탄맥주유소,화성시
2729,경기 화성시 남양읍 현대기아로 394,SK에너지,1588,N,무송주유소,화성시
2730,경기 화성시 비봉면 푸른들판로 1133,SK에너지,1589,N,만세주유소,화성시
2731,경기 화성시 향남읍 은행나무로 561-4,GS칼텍스,1589,N,조아주유소,화성시
2732,경기 화성시 향남읍 서해로 430-9,SK에너지,1589,N,SK향남주유소,화성시
2734,경기 화성시 향남읍 발안로 605-1,SK에너지,1590,N,황금주유소,화성시
2735,경기도 화성시 동탄신리천로 249(오산동),S-OIL,1591,Y,동탄명품주유소,화성시
2736,경기 화성시 봉담읍 주석로 996,S-OIL,1595,N,㈜흥운 상기리주유소,화성시
2737,경기 화성시 향남읍 발안로 724,S-OIL,1595,N,쌍용주유소,화성시
2738,경기 화성시 여울로3길 21 (능동),SK에너지,1598,Y,이마트24서비스 동탄주유소,화성시
2739,경기 화성시 10용사로 446,GS칼텍스,1598,Y,동탄주유소,화성시
2740,경기 화성시 봉담읍 최루백로 260,현대오일뱅크,1598,N,그린화성주유소,화성시
2741,경기 화성시 북삼미로 261,현대오일뱅크,1598,Y,현대오일뱅크(주)직영 능동셀프주유소,화성시
2742,경기 화성시 송산면 당성로 523,SK에너지,1598,N,육일주유소,화성시
2743,경기 화성시 10용사로 650 (반송동),SK에너지,1598,N,SK에너지(주)솔빛나루주유소,화성시
2745,경기 화성시 팔탄면 현대기아로 8,SK에너지,1599,N,노하공단주유소,화성시
2746,경기 화성시 팔탄면 푸른들판로 744,GS칼텍스,1599,N,창곡주유소,화성시
2747,경기 과천시 과천대로 448 (막계동),S-OIL,1562,Y,구도일과천주유소,과천시
2748,경기 과천시 중앙로 534 (과천동),현대오일뱅크,1562,Y,현대오일뱅크(주)직영 선암셀프주유소,과천시
